date,views,uniques,clones,clone_uniques,top_referrers
2026-07-06,0,0,0,0,github.com:4;banyan.city:1
2026-07-07,0,0,0,0,github.com:4;banyan.city:1
2026-07-08,0,0,0,0,github.com:4;banyan.city:1
2026-07-09,0,0,0,0,github.com:4;banyan.city:1
2026-07-10,5,1,26,10,github.com:4;banyan.city:1
2026-07-11,1,1,113,43,banyan.city:1;github.com:1
2026-07-12,0,0,44,24,github.com:1;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-13,0,0,206,78,github.com:1;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-14,0,0,11,9,banyan.city:1;github.com:1;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-15,0,0,2,2,banyan.city:1;github.com:1;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-16,1,1,1,1,banyan.city:1;github.com:1;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-17,0,0,2,2,banyan.city:3;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-18,0,0,36,16,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-19,0,0,206,71,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-20,0,0,81,28,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-21,0,0,59,20,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-22,0,0,61,20,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-23,0,0,136,45,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-24,0,0,137,45,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-25,1,1,295,84,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-26,0,0,340,125,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-27,1,1,468,146,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-28,1,1,178,65,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-29,7,3,1860,333,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-30,4,1,981,272,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-07-31,9,2,931,295,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-08-01,0,0,1109,319,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-08-02,0,0,2895,494,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-08-03,0,0,1972,438,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
2026-08-04,0,0,596,186,banyan.city:5;kkb-production.jupyter-proxy.kaggle.net:1
